NTA,DNAmatch
SoHo-TriBeCa-Civic Center-Little Italy,"Civic Center,Hudson Square,South Street Seaport,South Village"
Ozone Park,"Lindenwood,Ozone Park"
Greenpoint,Greenpoint
Marble Hill-Inwood,"Inwood,Spuyten Duyvil"
Allerton-Pelham Gardens,Pelham Gardens
West Farms-Bronx River,
West Village,"Greenwich Village,Meatpacking District,SoHo,West Village"
Windsor Terrace,Windsor Terrace
Bay Ridge,"Bay Ridge,Fort Hamilton"
Cambria Heights,Cambria Heights
Fresh Meadows-Utopia,Jamaica Estates
Claremont-Bathgate,Claremont
Far Rockaway-Bayswater,"Bayswater,Far Rockaway"
Erasmus,"Flatbush,Prospect-Lefferts Gardens"
Port Richmond,"Elm Park,Port Richmond,Westerleigh,Willowbrook"
park-cemetery-etc-Bronx,
Bellerose,Bellerose
Carroll Gardens-Columbia Street-Red Hook,"Columbia Street Waterfront District,Red Hook"
Pomonok-Flushing Heights-Hillcrest,"Hillcrest,Jamaica Hills"
Auburndale,"Auburndale,Fresh Meadows"
Jackson Heights,Jackson Heights
Fordham South,
New Brighton-Silver Lake,"Emerson Hill,Silver Lake,Sunnyside (Staten Island),West Brighton"
Central Harlem North-Polo Grounds,Sugar Hill
Astoria,"Astoria,Sunnyside"
Elmhurst-Maspeth,
Richmond Hill,Richmond Hill
Old Town-Dongan Hills-South Beach,"Dongan Hills,Grasmere,Old Town"
Eastchester-Edenwald-Baychester,"Baychester,Eastchester"
Gravesend,
Crotona Park East,
Bensonhurst East,Mapleton
Bedford,
Great Kills,"Eltingville,Great Kills,Heartland Village,New Springville"
Williamsburg,
Chinatown,"Chinatown,Little Italy,NoHo,Nolita,Two Bridges"
Corona,Corona
East Elmhurst,
Ocean Hill,Ocean Hill
Dyker Heights,Dyker Heights
Upper West Side,"Bloomingdale,Upper West Side"
Ridgewood,Ridgewood
Kingsbridge Heights,"Kingsbridge,University Heights"
West New Brighton-New Brighton-St. George,"Livingston,Randall Manor"
Schuylerville-Throgs Neck-Edgewater Park,"Country Club,Schuylerville,Throgs Neck"
East Flushing,
Homecrest,
Highbridge,High Bridge
