NTA,DNAmatch,
SoHo-TriBeCa-Civic Center-Little Italy,"Civic Center,Hudson Square,South Street Seaport,SoHo,Little Italy,Nolita,TriBeCa",`
Ozone Park,"Lindenwood,Ozone Park",`
Greenpoint,Greenpoint,`
Marble Hill-Inwood,"Inwood,Marble Hill",`
Allerton-Pelham Gardens,Pelham Gardens,`
West Farms-Bronx River,,
West Village,"Greenwich Village,Meatpacking District,West Village,NoHo",`
Windsor Terrace,"Windsor Terrace,Prospect Park South",`
Bay Ridge,"Bay Ridge,Fort Hamilton",`
Cambria Heights,Cambria Heights,`
Fresh Meadows-Utopia,Fresh Meadows,`
Claremont-Bathgate,Claremont,`
Far Rockaway-Bayswater,"Bayswater,Far Rockaway",`
Erasmus,,`
Port Richmond,Port Richmond,`
park-cemetery-etc-Bronx,,
Bellerose,Bellerose,
Carroll Gardens-Columbia Street-Red Hook,"Columbia Street Waterfront District,Red Hook,Carroll Gardens",`
Pomonok-Flushing Heights-Hillcrest,Hillcrest,`
Auburndale,Auburndale,`
Jackson Heights,Jackson Heights,`
Fordham South,,
New Brighton-Silver Lake,"Silver Lake,West Brighton,Randall Manor",`
Central Harlem North-Polo Grounds,,
Astoria,Astoria,`
Elmhurst-Maspeth,,
Richmond Hill,Richmond Hill,`
Old Town-Dongan Hills-South Beach,"Dongan Hills,Old Town,Arrochar,South Beach",`
Eastchester-Edenwald-Baychester,"Baychester,Eastchester",`
Gravesend,Gravesend,`
Crotona Park East,,
Bensonhurst East,,
Bedford,Bedford-Stuyvesant,`
Great Kills,"Eltingville,Great Kills,Richmondtown",`
Williamsburg,,
Chinatown,"Chinatown,Two Bridges",`
Corona,Corona,
East Elmhurst,,
Ocean Hill,Ocean Hill,`
Dyker Heights,Dyker Heights,`
Upper West Side,Upper West Side,
Ridgewood,Ridgewood,`
Kingsbridge Heights,"Kingsbridge,University Heights,Kingsbridge Heights",`
West New Brighton-New Brighton-St. George,"Livingstonm,New Brighton,Tompkinsville",
Schuylerville-Throgs Neck-Edgewater Park,"Schuylerville,Throgs Neck",`
East Flushing,Flushing,
Homecrest,Homecrest,`
Highbridge,High Bridge,`
Mariner's Harbor-Arlington-Port Ivory-Graniteville,"Graniteville,Mariners Harbor,Elm Park",
Fort Greene,Fort Greene,
Bushwick South,,
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"Manhattan Beach,Gerritsen Beach,Sheepshead Bay",`
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"Neponsit,Roxbury,Broad Channel,Rockaway Beach,Breezy Point,Bay Terrace",`
Midwood,Midwood,`
East Village,East Village,`
